Neighbourhood,Neighbourhood Latitude,Neighbour Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Id,Reviews,User Id,Likes
Connaught Place,28.6313827,77.2197924,G,28.63127367409223,77.21608784410734,Indian Restaurant,4e8334e902d58d31af5b663d,if you order 650 ml beer n you gonna get puppy size 330ml beer..hehe,5140a733e4b0a19ca1f642b5,0
Connaught Place,28.6313827,77.2197924,Fifty9,28.63380617562755,77.21719382619487,Restaurant,4f0812e5e4b06fab18fd5ed7,Bad,1a21ab1c498e411929349f40,1
Connaught Place,28.6313827,77.2197924,SIDEWOK,28.63290564755596,77.21640223600714,Chinese Restaurant,4eeb625299119cf9ce0e3cd9,If u coming in grp 10 approximate book for round table !! It's best seating ...,4f0b05fee4b071c57819891f,4
Connaught Place,28.6313827,77.2197924,The Great Kabab Factory,28.633825870064385,77.21708715832257,Indian Restaurant,4d4c18de9bbb721eef208fa0,The Kababs r excellent served Hot & unlimited. Fixed Changeable Menu.,53f2364b498edb0047f65edd,4
Connaught Place,28.6313827,77.2197924,China Garden,28.634342320913373,77.2173903193919,Chinese Restaurant,53c16329498e502089abc852,A fine dining Chinese restaurant. Nice ambience and food. Get 15% off by booking through Dineout and other table reservation services.,556e01f5498e040d55f4a0bf,3
Connaught Place,28.6313827,77.2197924,"Hira Sweets, CP",28.635157468979756,77.21998961294145,Diner,504b6bb7e4b011fb609eeae8,Bad,1a21ab1c498e411929349f40,1
Connaught Place,28.6313827,77.2197924,The Darzi Bar & Kitchen,28.635185,77.219436,Multicuisine Indian Restaurant,58e9209c469aef21458c8be1,Bad,1a21ab1c498e411929349f40,4
Connaught Place,28.6313827,77.2197924,Pioneer's Flavour of China,28.6351857217094,77.21940279006958,Chinese Restaurant,5052141945b0242074b24051,Bad,1a21ab1c498e411929349f40,3
Connaught Place,28.6313827,77.2197924,Zizo,28.635219893759988,77.22000084086731,Falafel Restaurant,53ee3191498ee7207e1a2dcb,Bad,1a21ab1c498e411929349f40,4
Connaught Place,28.6313827,77.2197924,Sandoz CP,28.632894,77.215702,North Indian Restaurant,5805038038fa153aca5f0a1c,Bad,1a21ab1c498e411929349f40,2
Connaught Place,28.6313827,77.2197924,Flavours Of China,28.634668,77.217381,Chinese Restaurant,51bb3548498e59d6e62b019e,Bad,1a21ab1c498e411929349f40,2
